,description_en
7380,"Undistributed corporation profits, 1968 System of National Accounts (SNA)"
4939,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
31,"The Business Information Architecture (BIA) consist of a graphical representation of the different functions, activities, subjects and document types characterizing AAFC's business, and of metadata used to classify AAFC's information resources.Using that metadata, the BIA provides a consistent vocabulary with which to describe the information resources used or created in AAFC."
1139,Aggregate of Property and Materiel requests captured in Remedy by type and by mission
10369,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
3548,A series of health-related data sets from various quantitative public opinion research studies. 
462,"The Canadian Action Plan Dataset aims to strengthen Canada's food safety system through: stronger food safety rules, more effective inspection, a renewed commitment to service, and more information for consumers."
6171,Financial market summary
1095,"The indicator represents the median duration (in days) that offenders are held in administrative segregation for reasons of: CCRA 31(3-A) JEP INST/OTH IND, CCRA 31(3-B) INTERF W/INVEST, and CCRA 31(3-C) INMATE IN DANGER within federal institutions."
2543,Tableaux historiques
7589,"Canadian vehicle survey, vehicle-kilometres, by type of vehicle and age of vehicle model"
1570,Raw acoustic backscatter data collected during February 2016 herring survey in Placentia Bay aboard a chartered purse seine vessel.
8550,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
3658,"The 20 most frequented Canadian airports / rail stations for bookings, made by the Government of Canada, using Shared Travel Services.  Data includes arrivals and departures ticket counts."
148,"The “Agri-Environmental Indicator (AEI) - Risk of Soil Salinization (RSS)” dataset estimates the risk of accumulation of soluble salts for Canadian agricultural lands in the Prairie region for census years 1981 to 2011. At high levels, the accumulation of these salts in soil and groundwater in the landscape can inhibit the growth of many plant species."
9710,Production and value of greenhouse vegetables
9390,"How often students eat breakfast (at least juice and toast or cereal), by sex, age group and selected countries"
5175,"Reasons for self-reported unmet needs for health care services, household population aged 15 and over, Canada"
138,The “Agri-Environmental Indicator (AEI) - Risk of P release in agricultural land (P-Source)” dataset estimates the relative risk of phosphorus release from soils in Soil Landscapes of Canada for census years from 1981 to 2011.
3666,"This dataset provides media expenditures in specialized print, radio and television aimed at official language, ethnic and Aboriginal and communities, in particular."
4715,"Balance of international payments, current account, investment income, by type and sector"
7697,"Manufacturing shipments, by Standard Industrial Classification, 1980 (SIC)"
6411,"Book publishers, electronic sales"
9578,Average prices for selected livestock
7346,"Informatics professional services price indexes (IPSPI), data processing, hosting and related services, by North American Industry Classification System (NAICS)"
10494,"Consumer Price Index, household operations and furnishings, by province (monthly)"
613,"Resettled refugees who arrived in Canada as part of the Government of Canada's Refugee and Humanitarian Resettlement Program. Datasets include resettled refugees who have received settlement services.

Please note that in these datasets, the figures have been suppressed or rounded to prevent the identification of individuals when the datasets are compiled and compared with other publicly available statistics. Values between 0 and 5 are shown as “--“ and all other values are rounded to the nearest multiple of 5. This may result to the sum of the figures not equating to the totals indicated."
6625,"Survey of household spending (SHS), household spending, three territories and selected metropolitan areas"
4228,Production and disposition of eggs
3596,Not Available
2179,"In October and November 2015, ground-based air measurements of pollutants were made from two mobile laboratories in southeast Saskatchewan in an area within a 50 km radius of Stoughton, Saskatchewan by scientists of the Air Quality Research Division, Environment and Climate Change Canada.  Measurements were made while the mobile laboratories were driven downwind of oil production facilities in the region on a daily basis, starting approximately 0900 and ending approximately 1700 local time (CST).  The objectives of these measurements included 1) scouting the Bakken shale plays in southern Saskatchewan, to determine whether petroleum resource development releases air pollutants to the atmosphere, 2) to determine the emission rates of CACs (NOx, SO2, CO, VOCs), GHG/SLCP (CO2, CH4, black carbon), and air toxics (H2S, aromatics) from these development activities and 3) to provide data that can be used in emission inventory development.  The full suite of measurements made were; CH4, CO2, CO, CH4/CO2 carbon isotope, NO, NO2, SO2, H2S, VOCs in canisters (~150 VOCs) OVOCs + BTEX, Acids (organic and inorganic), Black carbon, PM2.5 and particle number size distribution and Met parameters (T, P, RH, 3-d wind speeds, wind direction, turbulence)."
2974,fuel consumption ratings by year
7773,"Family characteristics, persons receiving Employment Insurance, by sex and age group"
3631,Not Available
5498,"Itinerant movements, by type of power plant, airports with NAV CANADA towers"
9194,"Commercial and industrial machinery and equipment rental and leasing, industry expenditures"
7141,"Census of Agriculture, bees on census day"
1143,Future Oriented Financial Statements are prepared as part of the departmental yearly Report on Plans and Priorities (RPP)
1597,Scale envelopes c/w data.
5648,"Accounting services, sales by type of goods and services"
320,"McElhanney Consulting Services Ltd (MCSL) has performed a LiDAR and Imagery survey in southern Saskatchewan. The purpose was to generate DEMs for hydraulic modeling of floodplain, digital terrain maps, and other products for portions of the Swift Current Creek valley and other miscellaneous tributaries and related water course valleys in and around the City of Swift Current.The acquisition was completed between the 16th and 25th of October, 2009. The survey consisted of approximately 790 square kilometers of coverage. While collecting the LiDAR data, we also acquired aerial photo in RGB and NIR modes consisting of 1649 frames each.In addition to the main area of interest, McElhanney has acquired some LiDAR and photo of low lying areas adjacent to the project area. This additional area was acquired on speculation that the data may be required in the future.The 3Dimensional laser returns (point cloud) were classified using Microstation (v8), Terrascan and TerraModeler. A series of algorithms based on topography were created to separate laser returns that hit the ground from the ones that hit objects above the ground.Steps taken are:Classified LiDAR surface as Bare earth, Classified other features as non-bare earth or default, Formatted to ASPRS .LAS V1.1 (Class 1 - Default (non-bare earth), Class 2 – Ground points (bare earth)), 239 tiles each 2km x2km generated for LiDAR data, File prefix FF – Classified (Non-Bare Earth and Bare Earth), File Prefix BE – Bare Earth only, Bare Earth Model Key Point (MKPts) surface files are thinned Bare earth LiDAR points. MKPts files generate a virtually identical surface without the large file size, MKPts file format is ASCII (Easting Northing Z-elevation) xyz and LAS format."
4088,"Injuries causing limitation of normal activities, by age group and sex, household population aged 12 and over, Canada, provinces, territories, health regions (January 2000 boundaries) and peer groups"
50,Provides training data and client support interaction. 
9955,"Population providing care to a family member or friend with a long-term illness, disability or aging needs, by sex and household income of caregiver"
6379,"Quality of family physician care reported by those with a regular family physician, household population aged 15 and over, Canada and provinces"
3583,This bilingual Web system is used by all government departments to access SLE results of employees. The data for these searches is taken from TSRR.
7505,Data on long-run provincial and territorial economic performance
7131,"Life expectancy, at birth and at age 65, by sex, three-year average, Canada, provinces, territories, health regions and peer groups"
6444,Final domestic demand at 1981 prices
3910,Listing of funding authorities and amounts.
4066,"Changes made to improve health, by age group and sex, household population aged 12 and over, selected provinces, territories and health regions (January 2000 boundaries)"
9112,"National balance sheet, Bank of Canada"
7364,"Historical statistics, estimated population and immigrant arrivals"
10670,Equivalency Certificate Listing - All current certificates issued exempting the Certificate Holder from certain regulatory compliance. 
9418,"Travel survey of residents of Canada, domestic travel, by province and census metropolitan areas"
9533,"Consolidated production account, primary expenses arising from domestic production"
4006,"Youth custody and community services (YCCS), releases from pre-trial detention, by length of time served and sex"
7078,"Interprovincial migrants, by province or territory of origin and destination"
6830,"Film, television and video post-production, industry profile based on domestic and foreign sales"
3647,Public Safety public facing website containing all proactive disclosures related to grants and contributions disclosed to the public
7440,"Labour force survey estimates (LFS), employment by census metropolitan area based on 2001 census boundaries and North American Industry Classification System (NAICS)"
8620,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
768,"Facts and Figures 2015: Immigration Overview Temporary Residents presents the annual intake of permit holders and refugee claimants from 1994 to 2015.
 The report also shows the total count of permit holders and refugee claimants with valid permit(s) in each calendar year and the total count of permit holders and refugee claimants as at December 31st of each year. The main body of the publication consists of a series of statistical tables and charts covering the ten-year period from 2006 to 2015.
 In Facts & Figures 2015 for Temporary Residents, numbers on International Mobility Program (IMP) Work Permit Holders for Work Purposes increased due to the moving of the Post-graduate Employment Work Permit Holders population from Work Permit Holders for Study Purposes to Work Permit Holders for Work Purposes under the International Mobility Program. As a result of this, the Facts & Figures 2015 reports reflect a corresponding decrease in the number of Work Permit Holders for Study Purposes. These changes have been applied retroactively.
 The Post-Graduation Work Permit Program (PGWPP) allows students who have graduated from a participating Canadian post-secondary institution to gain valuable Canadian work experience. Skilled Canadian work experience gained through the PGWPP potentially helps graduates qualify for permanent residence in Canada through the Canadian Experience Class (CEC). 

Facts & Figures 2013 had previously counted those who held Post-Graduation Work Permits as Work Permit Holders for Study Purposes. However, Work Permit Holders for Study Purposes is a category for individuals who are primarily students and who are also allowed to get a work permit (e.g., Co-op students) because it is integral to their course of studies. To get a PGWP, in contrast, an individual must have ceased to be a student – it is a requirement that the individual must have graduated from their program."
4501,"Survey of innovation, logging and manufacturing industries, percentage of innovative plants using sources of information that provided information for new innovation projects"
7867,"Merchandise imports and exports customs-based price indexes, Canada and United States trade, and Standard International Trade Classification (SITC revision 3) price indexes for all countries and United States"
10815,"""Communities benefitting"" include all distinct communities receiving benefit from a new or improved infrastructure system, network, or facility.  Note: If a community benefits from two different projects, that community will be counted twice."
98,Provides data about the type of reasons sought for a revision for the Canadian Agricultural Loans Act (CALA) Program.
9173,"Hogs statistics, number of farms reporting and average number of hogs per farm"
1678,Images of harp and hooded seals. Images are both physical and digital (since 2008). Digital images are all backed up. Print images - data is backed up but not the photos. All images are stored in the marine mammal section at the Northwest Atlantic Fisheries Centre. Purpose: Reference.
2154,"The Integrated Atmospheric Deposition Network (IADN) has been in operation since 1990 under the guidance of an implementation plan signed in that year. The first implementation plan (IP1) committed the United States and Canada to work cooperatively towards the initiation of the IADN and guided the five cooperating IADN agencies (the U.S. Environmental Protection Agency; Environment Canada's Atmospheric Environment Service, National Water Research Institute, Ecosystem Health Division of Ontario Region; and the Ontario Ministry of Environment) in meeting their joint obligation.

IADN has succeeded in incorporating measurements of most of the chemicals on the target lists of IP1. The list of the target chemicals consists of PCBs (total and major congeners); hexachlorcyclohexanes (HCHs); DDT and its metabolites; chlordane, nonachlor, heptachlor epoxide, methoxychlor, dieldrin, HCB and endrin; trace metals such as Pb, As, Se, Cd; chlorinated benzenes, toxaphene, co-planar PCBs, dioxins and furans; new chemicals such as the triazine herbicides, industrial chemicals; and polycyclic aromatic hydrocarbons (PAHs). IADN has established one master station on each of the five Great Lakes: Eagle Harbor (USA) on Lake Superior, Sleeping Bear Dunes (USA) on Lake Michigan, Burnt Island (Canada) on Lake Huron, Sturgeon Point (USA) on Lake Erie and Pt. Petre (Canada) on Lake Ontario. There are also fourteen satellite stations that serve as a valuable source of information by extending the resolution capability of IADN."
234,"The 2000 Land Use (LU) maps cover all areas of Canada south of 600N at a spatial resolution of 30 metres. The LU classes follow the protocol of the Intergovernmental Panel on Climate Change (IPCC) and consist of: Forest, Water, Cropland, Grassland, Settlement and Otherland. The 2000 Land Use (LU) maps were developed in response to a need for explicit, high-accuracy, high-resolution land use data to meet AAFC’s commitments in international reporting, especially for the annual National Inventory Report (NIR) to the United Nations Framework Convention on Climate Change (UNFCCC), the Agri-Environmental program of the Organization for Economic Co-operation and Development (OECD) and the FAOSTAT component of the Food and Agriculture Organization of the United Nations (FAO)."
9611,Undistributed corporation profits
4892,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
10292,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
36,Provides details on the validation and compliancy of AAFC websites and web applications to the Web Content Accessibility Guideline (WCAG) standard and other considerations.  
1067,The indicator represents the total number of Preliminary Assessment reports completed on-time per the total number of Preliminary Assessment reports that were due for the reporting period (within 5 working days of sentence commencement date).
4464,Supply and demand for natural gas liquids and liquefied petroleum gases
7276,"Survey of innovation and business strategy, product innovation expenditures, by North American Industry Classification System (NAICS) and enterprise size, all surveyed industries"
620,"Operational datasets on acquisition of Canadian citizenship, permanent and temporary residency status and visitor visas of foreign nationals."
3092,"The VMap1 collection is a legacy product that is no longer supported. VMap1 is a vector digital topographic reference product developed by Natural Resources Canada (NRCan) and The Department of National Defence (DND). VMap1 complies with international military specifications vector map, level 1. There are 24 VMap1 libraries covering the Canadian territory. The National Topographic Data Base (NTDB) at scale of 1:250 000 is the main source used to populate the Canadian VMap1 Libraries. Administrative Boundaries from Statistics Canada are used to add international borders, provincial and Indian reserve limits. NRCan paper maps at scale of 1:250 000 and the information in the Canadian Geographical Names Data Base (CGNDB) are used to capture the names. The JOG (Joint Operations Graphic) paper maps were used by DND for the production of libraries 37, 38 and 66. Topographic features mainly from the NTDB have not been updated. VMap1 is published once and no product revision is planned."
6842,"Inventories of Canadian crude oil, liquefied petroleum gases (LPG) and products"
5327,"Retail trade, by province and territory"
6849,"Survey of innovation and business strategy, most important countries in which enterprises made changes to operational activities, by North American Industry Classification System (NAICS) and enterprise size, all surveyed industries"
5532,"Asthma, by age group and sex"
8836,"Registered pension plans (RPPs) and members, by funding instrument, sector and type of plan"
2363,"Data were compiled in campaign mode over the ice of the frozen Arctic Ocean near Barrow, Alaska using the OOTI (Out On The Ice) mobile laboratory mounted on a specially manufactured Arctic sled and running on a bank of 12 VDC batteries. Chemical and meteorological variables were collected with commercial instrumentation, as detailed below. Mercury (Hg): Gardis (atomic absorption spectroscopy) instrumentation displayed strong dependence of the cell desorption with battery voltage, thus data are not archived here. Bromine monoxide (BrO): Measurements were taken by a hybrid MAXDOAS (multi-axis differential optical absorption) instrument built by the University of Heidelberg and Hoffmann Messtechnik GmbH, with an integrated scanning head built by the University of Alaska Fairbanks. Bromine monoxide and oxygen dimer data were taken at variable temporal resolution based on available light intensity and are all included in one file for the entire campaign. Ozone (O3): One-minute averaged ozone data were taken with 2B technology monitors and are archived and merged with meteorological variables in daily combined data files. Sonic anemometer data were recorded at 10Hz, 1 Hz, and 1 minute sampling frequency; Data archived are at 1 minute resolution. Wind, relative humidity, temperature, atmospheric pressure and radiation: Campbell Scientific instrumentation data are archived at 1 minute intervals. Position: GPS was recorded at 10Hz resolution by a NovaTel GPS receiver built into the OOTI system. The 1-minute frequency record is included with the combined daily files. Environmental survey (photos): Logitech webcam snap shots at 5 minute intervals are archived. A portable power generator was installed on site to provide power to a 10 Hz home-built ""fast ozone"" monitor based on absorption (these data are not archived) and mercury measuring instrumentation including speciation with Tekran 2537A, 1130, 1135 (cold vapour atomic fluorescence spectroscopy). Existing gaps in the data are due to instrumentation maintenance or power interruption."
5977,"Frequency of drinking in the past 12 months, by age group and sex, household population aged 12 and over who are current drinkers, Canada, provinces, territories, health regions (June 2003 boundaries) and peer groups"
1145,"The data contained in this set is provided by Administration and Technology Services (TIA). The data set provides official information from the Government of Canada pertaining to the imports of turkey products into Canada, subject to controls under Canada's Export and Import Permits Act (EIPA)."
1461,Fishery-dependent commercial octopus dive fishery gridded catch and effort information.
7008,Shorn wool statistics
9934,"Child tax benefits for adults with and without disabilities, by age group and sex, Canada, provinces and territories"
2996,"Annual data on employment, GDP, GHG emissions, energy efficiency, electricity generation, clean energy, Canadian energy assets, trade, revenue to government, Canada's position in the world "
7260,Contributions to percent change in real household final consumption expenditure
5943,"Distribution of the household population by adult body mass index (BMI) - Health Canada (HC) classification, by sex and age group"
1870,Eye size measures of American lobster larvae during egg development collected in September near the Magdalen Islands since 2005.
5744,"Historical statistics, estimates of undercoverage of population, by age and sex"
9978,Work absence statistics of full-time employees by sex and job status
1656,Crab commercial plant sampling. Purpose: Crab research and stock assessment.
8977,"Gross domestic product at basic prices, finance and other selected services"
5382,"Aquaculture industry, by selected provinces"
8266,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
4448,Gross national income at market prices
4476,"Heritage institutions, summary statistics, by North American Industry Classification System (NAICS)"
2220,"CANGRD is a set of Canadian gridded annual, seasonal, and monthly temperature and precipitation anomalies, which were interpolated from stations in the Adjusted and Homogenized Canadian Climate Data (AHCCD); it is used to produce the Climate Trends and Variations Bulletin (CTVB)."
9442,"Victim services survey, types of victim service agencies"
6654,"Survey of Maintenance Enforcement Programs (SMEP), activity status, by type of beneficiary, interjurisdictional support order status and collection rates"
9843,"Hog, barley ratio, live basis, Winnipeg"
9376,"Balance of international payments, current account, goods"
1132,"Information about charter flights to, from, and within Canada"
18,"Lease agreements by property, area, cost unit and license type."
8130,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
8205,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
6873,"Expenditures per resident-day in residential care facilities, by principal characteristic of the predominant group of residents and size of facility, Canada, provinces and territories"
3786,"At the end of each fiscal year, government-wide financial information is published in the Public Accounts. This dataset, based on the Volume 3 of the Public Accounts, provides, by ministry and by department and agencies, details for all Court awards paid in the given fiscal year. Where the situation warrants non-disclosure, the recipient's name may be withheld from publication. This dataset is from the Public Accounts of Canada and is not the official record of information. The official version of record can be found on the Receiver General website for the most recent fiscal year and the Library and Archives website for historical years."
7735,"Merchandise imports and exports customs-based price indexes, Canada and United States trade, and Standard International Trade Classification (SITC revision 3) price indexes for all countries and United States"
915,"The corporate statistical tables provide key tax and accounting information as of December 31, 2016, for all T2 returns that were assessed or reassessed for corporations with tax years that fall within the 2010 to 2014 calendar years."
150,The “Annual Unit Runoff (dam3/km2) for a 75% Probability of Exceedence” dataset is a line data set that covers the extent of Canada. It shows the 75% Probability of exceedence annual unit runoff.
7005,"Merchandise import and export, customs-based price index, weighted for all countries and the United States, by Standard International Trade Classification (SITC)"
4646,"Aircraft movements, by civil and military movements, airports with NAV CANADA towers"
5830,"Historical statistics, estimates of undercoverage of population with English as a mother tongue"
9798,"Crime severity index and weighted clearance rates, by police service, Alberta"
9940,"Census of Agriculture, vegetables (excluding greenhouse vegetables)"
2662,These reports provide information on grants and contributions awarded by ISED.
5308,"Labour force characteristics by immigrant status, by detailed age group"
7985,Gross fixed capital formation
7537,"Direct taxes from persons and contributions to social insurance plans and other transfers to government, provincial economic accounts"
5093,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
7282,"Survey of electronic commerce and technology, use of information and communication technologies, by North American Industry Classification System (NAICS)"
9058,"High-growth enterprises based on number of employees and revenue, by North American Industry Classification System"
7420,"Aboriginal peoples survey, access to and use of health care services, by Aboriginal identity, age group and sex, population aged 6 years and over, Canada, provinces and territories"
1568,"Water quality, zooplankton, phytoplankton, beathos sediment, and fish samples to determine sensitivity to acid precipitation. Purpose: Determine sensitivity to acid precipitation."
9539,"Survey of Employment, Payrolls and Hours (SEPH), employment for all employees, by enterprise size and North American Industry Classification System (NAICS), unadjusted for seasonality"
10458,The Dissemination Area and Land Area Correspondence File portrays the percentage of the 2011 Census dissemination area's land area within the boundaries of 2006 Census dissemination areas.
8820,"Retail commodity sales, by retail trade sector (quarterly)"
1826,"Set detail information (gear amount, type, fisher information, location, time fished etc.), length frequencies and related information collected in Sentinel Survey activity for 1995-present. Purpose: Dataset is used primarily to compare catch rates of cod in inshore areas with catch rates from previous years of Sentinel activity as an indication of the status of cod. Data are used in assessment of stocks in NAFO 2J3KLPs in conjunction with research survey data and commercial catch data."
4763,"Canadian vehicle survey, passenger-kilometres, by type of vehicle and age of vehicle model"
6391,"Canadian business counts, locations with employees, by employment size and North American Industry Classification System (NAICS), Canada and provinces, June 2015"
308,This data shows spatial density of Barley cultivation in Canada. Regions with higher calculated spatial densities represent agricultural regions of Canada in which Barley is more expected. Results are provided as rasters with numerical values for each pixel indicating the spatial density calculated for that location. Higher spatial density values represent higher likelihood to have Barley based on analysis of the 2009 to 2016 AAFC annual crop inventory data.
8499,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
3009,"Provided partners and industry stakeholders a snapshot of residential activity by province and Canada as a whole, as well as provide useful data on our home labelling programs.  Many of the partners use this data to assist them in validating their own program results.
It provides data on the total number of EAs by labelling program, number of builders by program, CO-02 savings, GHG savings, energy savings by fiscal year, annually, potential energy savings, etc, etc – most of the reports are for ERS 0-100 as well as ERS 15."
1041,"The indicator represents the number of suspensions of conditional release per 1,000 offenders supervised in the community."
4898,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
10811,"Business Expenditures in Research and Development (BERD) – expenditures by private firms on research and development. It includes creative work undertaken on a systematic basis in order to increase the stock of knowledge, and the use of this knowledge to devise new applications. R&D covers three activities: basic research, applied research, and experimental development."
2871,The dataset shows the average elapsed time taken on cases completed over the last five years.
385,"The National Ecological Framework for Canada's ""Land and Water Area by Province/Territory and Ecoprovince” dataset provides land and water area values by province or territory for the Ecoprovince framework polygon, in hectares. It includes codes and their English and French descriptions for a polygon’s province or territory, total area, land-only area and large water body area."
3841,Applications for review by the federal Court of a decision by Public Services and Procurement Canada under the Access to Information Act
44,List of items in the collection of the Canadian Agriculture Library that underwent conservation treatment.
5497,"Periodical publishers, summary statistics, by North American Industry Classification System (NAICS)"
5380,"Consumer Price Index, clothing and footwear, by province (monthly)"
181,"Accumulated Precipitation represents the amount of total precipitation (solid and/or liquid in mm) which has been recorded over a given period of time. Products are produced for the following period types: Agricultural Year, Growing Season and Winter Season as well as rolling products for 7, 14, 30, 60, 90, 180, 270, 365, 730, 1095, 1460 and 1825 days."
6265,"Number of persons employed in employer enterprise deaths, by North American Industry Classification System and enterprise size"
10424,"Water files are provided for the mapping of inland and coastal waters, Great Lakes and the St. Lawrence River. These files were created to be used in conjunction with the boundary files."
9383,"Aboriginal peoples survey, food security, by Aboriginal identity, age group, sex, and number of persons in household, population aged 6 years and over, Canada, provinces and territories"
634,"Temporary residents who are in Canada on a work permit or study permit in the observed calendar year. Datasets include Temporary Foreign Worker Program (TFWP) and International Mobility Program (IMP) work permit and study permit holders by year in which permit(s) became effective. Please note that in these datasets, the figures have been suppressed or rounded to prevent the identification of individuals when the datasets are compiled and compared with other publicly available statistics. Values between 0 and 5 are shown as “--“ and all other values are rounded to the nearest multiple of 5. This may result to the sum of the figures not equating to the totals indicated."
7171,"Percentage distribution of personal income by source, 1968 System of National Accounts (SNA)"
9440,"Enterprises holding or using other forms of intellectual property, by type and selected industry group, 2010"
10017,"Corporations Returns Act (CRA), major financial variables"
1495,The Crabs_Bio database holds all catch composition and biological data collected on various crab species from fishery independent and fishery dependent surveys throughout BC. 
10345,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
1662,Crab sampled tagged released data and recapture info from fishers. Purpose: Crab research and stock assessments.
6605,"Balance of international payments, flows of Canadian direct investment abroad and foreign direct investment in Canada, by category of transactions"
4597,"Machinery and equipment price indexes (MEPI), by industry of purchase"
6823,"Historical statistics, estimates of undercoverage of population"
9571,"Travel survey of residents of Canada, traveller characteristics, by province of destination"
3255,This data set is supplementary information that accompanies the published journal paper.
9818,"Consulting services, industry expenditures"
275,"Average of the analysis of the difference between precipitation and potential evapotranspiration (P-ETP) from May 1 to October 1, based on the period between 1974 and 2003. The analysis is based on precipitation and temperature values interpolated every 10 km using the ANUSPLIN method, based on data from the Ministère du Développement durable, de l'Environnement et des Parcs du Québec and from Environment Canada.Evapotranspiration corresponds to the loss of water from the soil and plant cover by evaporation, and the loss of water from plants through transpiration.The potential evapotranspiration index (ETP) is based on the principle that the growth of a crop is optimal when the usable water reserve is sufficient and there is a balance between water absorbed by the roots and water lost through transpiration. The ETP corresponds to the maximum theoretical possible evaporation and transpiration in given climate conditions. The accumulated difference between precipitation and potential evapotranspiration (P-ETP) gives a general indication of the “climatological” water balance and can be used to make qualitative comparisons between regions in terms of irrigation requirements and risks of drought. However, a specific assessment of water needs for a given culture and a specific location requires knowledge of the actual evapotranspiration which, in addition to climatological factors, also takes into account the characteristics of the plant and the soil."
6328,"Arthritis/rheumatism, by age group and sex, household population aged 12 and over, territories"
140,The “Agri-Environmental Indicator (AEI) - Agricultural Particulate Matter Emissions (APMEI) – Particulate Matter less than 10 μm (PM 10)” dataset provides estimated net emissions of particulate matter with an aerodynamic diameter of less than 10 micrometers (including less than 2.5 micrometers (PM2.5)) from agricultural lands for census years 1981 to 2011.
1559,"Survey for Physella wright - the hotwater physa, at Liard River Hotsprings Provincial Park, August 2006."
410,"The ‘Land use allocation to Soils and Landforms by year’ dataset links agricultural land use activities to soils and landscapes within Soil Landscapes of Canada (SLC) polygons. The land use allocations to soils area datasets were generated on an annual time step (1971-2015). Agricultural land use is categorized and allocated based on the following general land use types: Annual cropland, Perennial cropland, Specialty Crops, Improved pasture and Unimproved Pasture."
9900,"Adult correctional services, custodial and community admissions to provincial and territorial programs"
2843,"The Water Survey of Canada has been collecting and publishing data since 1908. The PEAKS file contains annual maximum instantaneous discharges or water levels from about 1,400 gauging stations across Canada. Data are in imperial units. Data were collected from 1908 to 1979. These datasets have been converted from their legacy file structures and encoding schemes so they can be used by contemporary computers that are based upon the ASCII character-encoding scheme. Each dataset will require specialized software such as a statistical tool, to interpret and analyze the content in each file. The attached codebook describes the file’s structure and defines the variables contained in each field. Each code book is a compilation of the summary description of the dataset as provided by the creating department.  As such, it is available in English only."
8562,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
8066,"Families and Households Highlight Tables, Private households by household type, for Canada, provinces and territories, 2011 and 2006 censuses - English version. Provides information highlights by topic via key indicators for various levels of geography."
9201,Accounting services price index
5177,"This table provides statistical information about people in Canada by their demographic, social and economic characteristics as well as provide information about the housing units in which they live."
10664,"The Program Alignment Architecture presents a structured inventory of TC's programs as per the TB Policy on Management, Resources and Results Structure "
7986,"International investment position, Canadian direct investment abroad and foreign direct investment in Canada, by type of Canadian concern and capital invested"
10719,A reference dataset that includes fiscal calendar data as standardized data such as fiscal year and related labels.  
5983,"Percentage distribution of gross domestic product (GDP) by expenditure category, 1968 System of National Accounts (SNA)"
2457,"Environics Research Group was retained to conduct a survey to evaluate the effectiveness of the Financial Benefits for Canadian Families advertising campaign on behalf of Human Resources and Skills Development Canada (HRSDC). In total, 1,203 telephone interviews were completed from March 7-15, 2011 with a representative sample of Canadians living in the 10 provinces and an oversample of parents of children under the age of 18."
10164,This table is part of a series of tables that present a portrait of Canada based on the various census topics. The tables range in complexity and levels of geography. Content varies from a simple overview of the country to complex cross-tabulations; the tables may also cover several censuses.
4408,"Migrant taxfiler income, by in- and out-migration estimates and provincial regions"
1842,"Seabed classification data. Pictures and video of capelin and sand lance habitat. Pictures located on network server, video and acoustic files located on DVD.  "
9396,"Retail services price index, by North American Industry Classification System (NAICS)"
9923,"Gross domestic product, income-based"
4497,"Trucking summary statistics, by province and territory"
